s,key,genre,type,sms,smb,scel,bfid,jbj,jguit,jmand,dbs,pguit,♫ex1,♫ex2,tab1,tab2,lesson,extra1,extra2,mtuning,ftuning,chord prog.,
A Little Heart's Ease,G,,,y,y,,,,,,,,,,,,,,,,,,
Angeline the Baker,D,bluegrass,,y,y,y,y,y,y,y,y,,yt,,,,fiddle,,,,,,
Apple Blossom,,old time,,~,~,,*,,,,,,clarridge,,,,molsky on peghead,,,,ADAE,,
April's Waltz,G,,,,,~,,,,,,,youtube,,,,,,,,,,
Arkansas Traveler,D,bluegrass,,y,y,y,y,y,y,y,y,,kaufman,m_lesson,mando,,iwalsh,maine guy,,,,,
Ashland Breakdown,C,bluegrass,reel,y,y,,y,,,,,,rob ickes,pikelny,,,,,,,,,
Ashokan Farewell,D,old time,waltz,y,~,,y,y,y,y,,,jay ungar,grisman/kobialka,,,HS:Ungar,string quartet,"bush, hicks, brown",,,,
Back Up and Push,C,bluegrass,,~,y,*,y,y,y,y,,,baker,geet&fid,tef collection,,fiddle,youtube,mando,,,extra lick,
Bally Desmond Polka,A,irish,polka,y,,,y,,,,,,,,,,,,,,,,
Banish Misfortune,D,irish,jig,y,,,y,,,,,,,octave,mando,stand. not.,iwalsh,,,,,,
Banks of the Ohio,E,old time,,y,y,,*,,y,,,,grooveshark,,,,fiddle,on academy,,,,,
Banshee,G,irish,reel,,,,y,,,,,,fiddle,bad cello,,,,,,,,,
Beaumont Rag,D,bluegrass,,y,y,,~,,y,,,,,craig duncan in F,,,,,,,,,
Big Fiddle,?,?,reel,,,~,~,,,,,,,,,,,,,,,,
Big John McNeil,A,bluegrass,,y,y,,y,,,,,,kaufman,,stand.not.,standnot2,flesson,johnfiddle,,,,,
Big Mon,A,bluegrass,,y,~,,y,,y,y,,,yt fiddle,yt fiddle2,,,,flamekeeper,,,,,
Big Sandy River,A,bluegrass,,y,y,,y,y,y,y,y,,monroe,yt fid+mando,mando,,flesson,banjo,,,,,
Big Sciota (Big Scioty),G,bluegrass,,y,y,y,y,y,y,y,,,,ungar&bain,,,fiddle,fiddle2,mando,,,,
Bile 'Em Cabbage Down,A,bluegrass,,y,y,*,*,,,,,,,,,,fiddle,fiddle2,,,,,
Bill Cheatham,A,bluegrass,reel,y,y,,y,y,y,y,y,,pearly blue,,,,fiddle,mando solo,,,,,
Bill Sullivan's Polka,D,irish,polka,y,,,y,,,,,,,,mando,,,,,,,,
Bill's Dream,G,bluegrass,,y,y,,y,,,,,,monroe,mando,,,,baldassari,,,,,
Billy in the Lowground,C,bluegrass,,y,y,y,y,,y,y,,,,,,,fiddle,,,,,,
Birdie,C,bluegrass,breakdown,y,y,,y,,,,,,hartford,,info,,,,,,,,
Birdland Bounce,Dm,jazz/bluegrass,,y,y,,y,,,,,,baldassari,tony rice,,,,,,,,,
Black Canyon,Gm,bluegrass,,y,y,,y,,,,,,old town album,,,,,,,,,,
Blackberry Blossom,G,bluegrass,,y,y,y,y,,y,y,,,,mando,,,fiddle,fiddle,mando,,,,
Blue Eagle,D,bluegrass,hornpipe,y,~,,*,,,,,,fiddle,mando,guitar,,,,,,,,
Blue Goose,G,old time,reel,,,,y,,,,,,bthomas,,,,molsky peghead,,,,,,
Blue River Waltz,C,old time,waltz,y,y,*,y,,,,,,ungar,casey willis,sheet,,,,,,,,
Bluegrass Special,A,bluegrass,,y,y,,,,,,,,monroe,,,,,,,,,,
Bluegrass Stomp,D,bluegrass,stomp,y,y,,y,,y,y,,,,,,,,,,,,,
Bluegrass Twist,G,bluegrass,,y,y,,,,,,,,mccoury,,,,,,,,,,
Bonaparte Crossing the Rhine,D,old time,,y,y,y,y,y,y,y,,,,mandoliniana,,,,,,,,,
Bonaparte Crossing the Rockies,Am,old time,,y,y,,y,y,y,y,,,mandoliniana,fiddle,tef,,,grooveshark,fast bluegrass,,,,
Bonaparte's Retreat,D,old time,,*,*,,~,,,,,,stepp fiddle,,,,,,,,,,
Bonnie Kate,D,irish,reel,,,,y,,,,,,,,,,kevin burke,,,,,,
Boston Boy,C,bluegrass,,y,y,,y,,y,,,,extravaganza,,,,,,,,,,
